Scenario,Region,Variable,2020,2025,2030,2035,2040,2045,2050
Fossil_CoC,Russia,electricity_price,0.096116,0.100603,0.102093,0.1116,0.114362,0.115865,0.114458
Fossil_CoC,South Africa,electricity_price,0.066596,0.095974,0.104145,0.126036,0.128859,0.126446,0.122549
Fossil_CoC,South America_Northern,electricity_price,0.180318,0.172636,0.162054,0.159625,0.164407,0.170063,0.173034
Fossil_CoC,South America_Southern,electricity_price,0.111643,0.130839,0.13204,0.121291,0.112895,0.104662,0.102288
Fossil_CoC,South Asia,electricity_price,0.099497,0.10127,0.10327,0.108634,0.111574,0.114302,0.111944
Fossil_CoC,South Korea,electricity_price,0.083194,0.108733,0.101444,0.128557,0.119198,0.133019,0.148993
Fossil_CoC,Southeast Asia,electricity_price,0.067385,0.08248,0.088339,0.10026,0.106764,0.109801,0.106635
Fossil_CoC,Taiwan,electricity_price,0.064122,0.068056,0.07007,0.091711,0.105232,0.107044,0.108933
Fossil_CoC,USA,electricity_price,0.092384,0.091643,0.093575,0.092764,0.094151,0.09432,0.093795
NonFossil_CoC,Africa_Eastern,electricity_price,0.140012,0.133668,0.134498,0.138544,0.133202,0.126675,0.120007
NonFossil_CoC,Africa_Northern,electricity_price,0.120972,0.119845,0.115566,0.114917,0.114321,0.112531,0.111054
NonFossil_CoC,Africa_Southern,electricity_price,0.170442,0.196666,0.20573,0.205484,0.204507,0.201498,0.188332
NonFossil_CoC,Africa_Western,electricity_price,0.121633,0.132084,0.129644,0.138923,0.1455,0.147018,0.143022
NonFossil_CoC,Argentina,electricity_price,0.131026,0.140256,0.139339,0.143467,0.145508,0.148107,0.14763
NonFossil_CoC,Australia_NZ,electricity_price,0.07819,0.083512,0.109413,0.116754,0.11166,0.114243,0.113458
NonFossil_CoC,Brazil,electricity_price,0.099524,0.03958,0.065286,0.079072,0.093515,0.099348,0.103135
NonFossil_CoC,Canada,electricity_price,0.093255,0.092813,0.087786,0.084171,0.09001,0.091675,0.089325
NonFossil_CoC,Central America and Caribbean,electricity_price,0.12492,0.148034,0.137586,0.133663,0.137165,0.132659,0.124709
NonFossil_CoC,Central Asia,electricity_price,0.093709,0.104869,0.110764,0.120999,0.123018,0.1249,0.125058
NonFossil_CoC,China,electricity_price,0.068038,0.059991,0.066237,0.075552,0.084878,0.094231,0.096194
NonFossil_CoC,Colombia,electricity_price,0.106012,0.131629,0.137219,0.1439,0.129765,0.127014,0.112457
NonFossil_CoC,EU-12,electricity_price,0.076364,0.059102,0.078403,0.119828,0.125563,0.122496,0.108572
NonFossil_CoC,EU-15,electricity_price,0.073397,0.052157,0.041158,0.08537,0.101921,0.099337,0.086483
NonFossil_CoC,Europe_Eastern,electricity_price,0.119326,0.126113,0.121493,0.108284,0.107693,0.10838,0.10883
NonFossil_CoC,Europe_Non_EU,electricity_price,0.080408,0.086731,0.081824,0.078827,0.098784,0.11087,0.117546
NonFossil_CoC,European Free Trade Association,electricity_price,0.094469,0.102526,0.101444,0.103894,0.104128,0.099129,0.094147
NonFossil_CoC,India,electricity_price,0.069238,0.071869,0.07163,0.082271,0.083983,0.090352,0.096021
NonFossil_CoC,Indonesia,electricity_price,0.059962,0.056546,0.069196,0.075036,0.078932,0.089556,0.089376
NonFossil_CoC,Japan,electricity_price,0.107138,0.112909,0.084944,0.117016,0.119494,0.122427,0.114608
NonFossil_CoC,Mexico,electricity_price,0.098968,0.125387,0.119391,0.115751,0.116053,0.11957,0.115286
NonFossil_CoC,Middle East,electricity_price,0.169084,0.166319,0.168039,0.191669,0.182518,0.17535,0.165427
NonFossil_CoC,Pakistan,electricity_price,0.119366,0.124075,0.128654,0.137033,0.139365,0.137689,0.133548
NonFossil_CoC,Russia,electricity_price,0.096116,0.102705,0.106016,0.109679,0.111457,0.111784,0.108553
NonFossil_CoC,South Africa,electricity_price,0.066596,0.094387,0.102856,0.128997,0.133604,0.132125,0.127906
NonFossil_CoC,South America_Northern,electricity_price,0.180318,0.170992,0.15914,0.154895,0.157828,0.162211,0.164185
NonFossil_CoC,South America_Southern,electricity_price,0.111643,0.130038,0.131271,0.121717,0.113489,0.104683,0.101723
NonFossil_CoC,South Asia,electricity_price,0.099497,0.099729,0.101061,0.105428,0.107732,0.111733,0.111993
NonFossil_CoC,South Korea,electricity_price,0.083194,0.111748,0.109003,0.137684,0.126392,0.140314,0.133475
NonFossil_CoC,Southeast Asia,electricity_price,0.067385,0.081356,0.087464,0.098942,0.10642,0.111957,0.111364
NonFossil_CoC,Taiwan,electricity_price,0.064121,0.06548,0.065402,0.085997,0.098809,0.105839,0.108136
NonFossil_CoC,USA,electricity_price,0.092384,0.091209,0.093747,0.094585,0.097234,0.096643,0.094499
